,HANDLE,bldg_price,VB,new_construction_price,NC,side_lot_price,SL,vacant_lot_price,VL
11903,13720000010,2000.0,"$2,000.00",0.0,N/A,0.0,N/A,0.0,N/A
11904,13720000020,1000.0,"$1,000.00",0.0,N/A,0.0,N/A,0.0,N/A
11905,13720000030,0.0,N/A,1094.1666666666667,"$1,094.17",410.4166666666667,$410.42,2283.7930668,"$2,283.79"
11906,13720000040,0.0,N/A,1094.1666666666667,"$1,094.17",410.4166666666667,$410.42,2283.7930661,"$2,283.79"
11907,13720000050,0.0,N/A,1094.1666666666667,"$1,094.17",410.4166666666667,$410.42,2283.7813257000003,"$2,283.78"
11908,13720000060,0.0,N/A,1094.1666666666667,"$1,094.17",410.4166666666667,$410.42,2283.7958402000004,"$2,283.80"
11909,13720000070,0.0,N/A,1094.1666666666667,"$1,094.17",410.4166666666667,$410.42,2283.7958402000004,"$2,283.80"
11910,13720000080,0.0,N/A,1094.1666666666667,"$1,094.17",410.4166666666667,$410.42,2283.7958402000004,"$2,283.80"
11911,13720000090,0.0,N/A,2188.3333333333335,"$2,188.33",-2.0,Ineligible: frontage > 25 ft,4567.591679700001,"$4,567.59"
11912,13720000100,0.0,N/A,0.0,N/A,0.0,N/A,0.0,N/A
11913,13720000110,0.0,N/A,2188.3333333333335,"$2,188.33",-2.0,Ineligible: frontage > 25 ft,4567.586132900001,"$4,567.59"
11914,13720000120,0.0,N/A,1094.1666666666667,"$1,094.17",410.4166666666667,$410.42,2283.7930668,"$2,283.79"
11915,13720000130,0.0,N/A,1094.1666666666667,"$1,094.17",410.4166666666667,$410.42,2283.7930661,"$2,283.79"
11916,13720000160,0.0,N/A,1531.8333333333335,"$1,531.83",-2.0,Ineligible: frontage > 25 ft,3197.3083947000005,"$3,197.31"
11917,13720000170,0.0,N/A,1531.8333333333335,"$1,531.83",-2.0,Ineligible: frontage > 25 ft,3197.3121019000005,"$3,197.31"
11918,13720000180,2000.0,"$2,000.00",0.0,N/A,0.0,N/A,0.0,N/A
11919,13720000190,2000.0,"$2,000.00",0.0,N/A,0.0,N/A,0.0,N/A
11920,13720000210,2000.0,"$2,000.00",0.0,N/A,0.0,N/A,0.0,N/A
11921,13720000220,0.0,N/A,0.0,N/A,0.0,N/A,0.0,N/A
11922,13720000240,0.0,N/A,1313.0000000000002,"$1,313.00",-2.0,Ineligible: frontage > 25 ft,2740.5529991000003,"$2,740.55"
11923,13720000250,0.0,N/A,1750.666666666667,"$1,750.67",-2.0,Ineligible: frontage > 25 ft,3654.0602343000005,"$3,654.06"
11924,13720000260,0.0,N/A,1313.0000000000002,"$1,313.00",-2.0,Ineligible: frontage > 25 ft,2731.7985149000006,"$2,731.80"
11925,13720000280,0.0,N/A,0.0,N/A,0.0,N/A,0.0,N/A
11926,13720000290,4000.0,"$4,000.00",0.0,N/A,0.0,N/A,0.0,N/A
11927,13720000320,0.0,N/A,1094.1666666666667,"$1,094.17",410.4166666666667,$410.42,2371.2819305000003,"$2,371.28"
11928,13720000330,0.0,N/A,1094.1666666666667,"$1,094.17",410.4166666666667,$410.42,2371.2969636999997,"$2,371.30"
11929,13720000340,0.0,N/A,2757.3,"$2,757.30",-2.0,Ineligible: frontage > 25 ft,3042.9632926,"$3,042.96"
11930,13720000350,0.0,N/A,2910.4833333333336,"$2,910.48",-2.0,Ineligible: frontage > 25 ft,2932.7090954,"$2,932.71"
11931,13720000360,0.0,N/A,2188.3333333333335,"$2,188.33",-2.0,Ineligible: frontage > 25 ft,4558.818785500001,"$4,558.82"
11932,13720000370,0.0,N/A,1094.1666666666667,"$1,094.17",410.4166666666667,$410.42,2283.7930661,"$2,283.79"
11933,13720000380,1000.0,"$1,000.00",0.0,N/A,0.0,N/A,0.0,N/A
11934,13720000390,1000.0,"$1,000.00",0.0,N/A,0.0,N/A,0.0,N/A
11935,13720000400,0.0,N/A,1750.666666666667,"$1,750.67",-2.0,Ineligible: frontage > 25 ft,3654.0525301000002,"$3,654.05"
11936,13720000420,1000.0,"$1,000.00",0.0,N/A,0.0,N/A,0.0,N/A
11937,13720000430,1000.0,"$1,000.00",0.0,N/A,0.0,N/A,0.0,N/A
11938,13720000440,0.0,N/A,1531.8333333333335,"$1,531.83",-2.0,Ineligible: frontage > 25 ft,3196.4761794,"$3,196.48"
11939,13720000460,0.0,N/A,1313.0000000000002,"$1,313.00",-2.0,Ineligible: frontage > 25 ft,2740.5521178000004,"$2,740.55"
